"Location","Equipment","Point","Trend Log/Enabled","Trend Log/Sample Interval","Trend Log/COV Increment","Trend Log/Max Number of Samples","Historian/Enabled","GQL Path"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Ret Air Temp 2","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/ra_temp_2"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Ret Dmpr 1 Fdbk","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/ret_dmpr_1_fdbk"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Ret Dmpr 2 Fdbk","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/ret_dmpr_2_fdbk"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Room CO2","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/ra_co2"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Sup Dmpr 1 Fdbk","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/sup_dmpr_1_fdbk"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Sup Dmpr 2 Fdbk","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/sup_dmpr_2_fdbk"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Supply Air Temp","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/sa_temp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Zone Temp 2","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/zone_temp_2"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Cooling Valve","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/chw_valve"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Heating Valve","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/hw_valve"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Ret Damper 1","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/rd1"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Ret Damper 2","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/rd2"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","SF VFD Speed","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/sf_vfd_output"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Sup Damper 1","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/sd1"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Sup Damper 2","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/sd2"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Sup Fan S/S","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/sfan"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","Dmpr Pos","x","00:05:00"," ","288","x","/#etc_oa_terminal_-_sample_equipment/dmpr_pos_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","Flow Stpt","x","00:05:00"," ","288","x","/#etc_oa_terminal_-_sample_equipment/flow_stpt_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","Heat","x","00:10:00"," ","0"," ","/#etc_oa_terminal_-_sample_equipment/heat_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","Occupancy","x"," ","1","100"," ","/#etc_oa_terminal_-_sample_equipment/occ_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","Flow Control / Flow Input","x","00:05:00"," ","288","x","/#etc_oa_terminal_-_sample_equipment/air_flow/flow_input"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","OA Terminal - RM 2169","OAT","x","00:05:00"," ","288","x","/#etc_oa_terminal_-_sample_equipment/oat"

